BOARD_DATE,TKT_BEG,STOP_NAME,IN,OUT
20051117,175,"台南  ",12884,12612
20051118,175,"台南  ",25058,22587
20051119,175,"台南  ",22970,21995
20051120,175,"台南  ",25328,29000
20051121,175,"台南  ",13856,14507
20051122,175,"台南  ",11168,11203
20051123,175,"台南  ",12030,11843
20051124,175,"台南  ",12589,12610
20051125,175,"台南  ",24058,21951
20051126,175,"台南  ",22673,21359
20051127,175,"台南  ",24094,27385
20051128,175,"台南  ",13830,15305
20051129,175,"台南  ",11661,11618
20051130,175,"台南  ",11978,11760
20051201,175,"台南  ",12713,12670
20051202,175,"台南  ",27643,24386
20051203,175,"台南  ",24931,23273
20051204,175,"台南  ",27518,32828
20051205,175,"台南  ",14333,15822
20051206,175,"台南  ",11761,11624
20051207,175,"台南  ",11783,11683
20051208,175,"台南  ",13126,12951
20051209,175,"台南  ",24609,22771
20051210,175,"台南  ",25684,24179
20051211,175,"台南  ",26727,29698
20051212,175,"台南  ",10231,11837
20051213,175,"台南  ",7663,8479
20051214,175,"台南  ",7944,8660
20051215,175,"台南  ",8357,9257
20051216,175,"台南  ",15948,16766
20051217,175,"台南  ",16975,19680
20051218,175,"台南  ",25743,29379
20051219,175,"台南  ",14069,15109
20051220,175,"台南  ",11748,12072
20051221,175,"台南  ",11866,11636
20051222,175,"台南  ",12909,12624
20051223,175,"台南  ",24217,22017
20051224,175,"台南  ",21595,21211
20051225,175,"台南  ",26030,29074
20051226,175,"台南  ",15507,16104
20051227,175,"台南  ",11950,11815
20051228,175,"台南  ",11580,11399
20051229,175,"台南  ",12496,11899
20051230,175,"台南  ",22867,21628
20051231,175,"台南  ",21503,20540
20060101,175,"台南  ",23794,26416
20060102,175,"台南  ",14992,16020
20060103,175,"台南  ",12070,11848
20060104,175,"台南  ",12174,12043
20060105,175,"台南  ",12820,12923
20060106,175,"台南  ",20708,19075
20060107,175,"台南  ",18799,18160
20060108,175,"台南  ",20098,21973
20060109,175,"台南  ",13618,14258
20060110,175,"台南  ",12807,12665
20060111,175,"台南  ",13137,12855
20060112,175,"台南  ",14191,14156
20060113,175,"台南  ",21300,20722
20060114,175,"台南  ",19736,18664
20060115,175,"台南  ",19743,19754
20060116,175,"台南  ",16412,16436
20060117,175,"台南  ",14616,14908
20060118,175,"台南  ",15588,15174
20060119,175,"台南  ",16284,16013
20060120,175,"台南  ",22078,21949
20060121,175,"台南  ",20710,19807
20060122,175,"台南  ",20000,19725
20060123,175,"台南  ",19311,19232
20060124,175,"台南  ",18582,19104
20060125,175,"台南  ",18592,19060
20060126,175,"台南  ",20246,20014
20060127,175,"台南  ",23131,22215
20060128,175,"台南  ",14560,13004
20060129,175,"台南  ",17868,19244
20060130,175,"台南  ",21685,22900
20060131,175,"台南  ",25757,26824
20060201,175,"台南  ",24734,25956
20060202,175,"台南  ",24306,25077
20060203,175,"台南  ",23317,24224
20060204,175,"台南  ",20515,20562
20060205,175,"台南  ",21099,21232
20060206,175,"台南  ",21168,21715
20060207,175,"台南  ",19765,19875
20060208,175,"台南  ",20298,20544
20060209,175,"台南  ",20085,20377
20060210,175,"台南  ",21189,21630
20060211,175,"台南  ",20900,21683
20060212,175,"台南  ",22929,23992
20060213,175,"台南  ",21183,21367
20060214,175,"台南  ",20583,21140
20060215,175,"台南  ",18912,18815
20060216,175,"台南  ",18756,18441
20060217,175,"台南  ",25335,24207
20060218,175,"台南  ",23845,24364
20060219,175,"台南  ",25987,27382
20060220,175,"台南  ",18780,19633
20060221,175,"台南  ",17042,17606
20060222,175,"台南  ",17584,17561
20060223,175,"台南  ",17826,17647
20060224,175,"台南  ",29165,28403
20060225,175,"台南  ",25015,26242
20060226,175,"台南  ",27113,28259
20060227,175,"台南  ",20641,20802
20060228,175,"台南  ",25998,25980
20060301,175,"台南  ",16086,16272
20060302,175,"台南  ",16389,15948
20060303,175,"台南  ",27181,24733
20060304,175,"台南  ",20985,19144
20060305,175,"台南  ",24320,27811
20060306,175,"台南  ",18522,19443
20060307,175,"台南  ",17030,16855
